orientation,1
timestamp_nanosecond,local_timestamp_milliseconds,accel_x_mps2,accel_y_mps2,accel_z_mps2,rotation_x_sin_theta_by_2,rotation_y_sin_theta_by_2,rotation_z_sin_theta_by_2,rotation_cos_theta_by_2,angvelocity_x_radps,angvelocity_y_radps,angvelocity_z_radps,yaw,pitch,roll,bbi
1622750746072,1622750746072,10.407283,-0.85214394,-0.45613182,-0.7164197,-0.029929465,-0.6965309,0.026300844,0.0021379655,0.029320668,-0.008704574,3.0357308,0.08161932,-1.6145965,
1622750746172,1622750746172,9.97508,-0.5087739,0.35413775,-0.71601254,-0.030503698,-0.69690424,0.026835063,-0.003970507,0.014354911,-0.009468133,2.9065578,0.05092831,-1.535309,
1622750746271,1622750746271,9.18156,-0.09092726,-0.5521438,-0.7157562,-0.029242424,-0.6971486,0.028667405,-0.002443389,-0.0027488125,-0.0047340663,3.0214858,0.009885067,-1.6308602,
1622750746372,1622750746372,10.091131,-0.5673981,-0.49322057,-0.7151851,-0.028485697,-0.6976734,0.03083351,-0.0012216945,-0.012522369,-0.0070247436,3.005976,0.056101426,-1.6196342,
1622750746473,1622750746473,10.711171,-0.47886363,-0.79860455,-0.71502227,-0.027126996,-0.6978195,0.032484654,-0.003206948,-3.0542363E-4,-0.009162709,3.0306294,0.044553682,-1.6452167,
1622750746574,1622750746574,10.888539,-0.48364928,-0.14267205,-0.71562725,-0.0258341,-0.6972652,0.032115497,-0.0030542363,-0.008857286,0.00671932,2.939437,0.044385213,-1.5838985,
1622750746675,1622750746675,9.996614,-0.4884349,-1.2738789,-0.7168624,-0.02258162,-0.69611746,0.031919137,-0.0071774554,-0.0051922016,-1.5271181E-4,3.099618,0.04843019,-1.6975442,
1622750746775,1622750746776,9.811171,-0.25244278,0.27996024,-0.7180522,-0.019710014,-0.69499695,0.031492334,-0.005497625,0.01007898,7.635591E-4,2.8730905,0.025714,-1.5422692,
1622750746876,1622750746877,9.156435,-0.046660043,0.465404,-0.71730185,-0.02004349,-0.6956868,0.0331088,-0.003970507,0.00335966,0.0030542363,2.8353834,0.0050892606,-1.5200119,
1622750746977,1622750746978,9.837492,-0.7827521,0.43669012,-0.71740353,-0.019326393,-0.6955834,0.033501774,-0.006413896,0.0076355906,0.010537115,2.8724105,0.07932319,-1.526435,
1622750747078,1622750747078,9.570394,-0.20697916,0.13399807,-0.71617216,-0.01945882,-0.6966973,0.036492098,-0.002443389,0.003970507,-0.011911522,2.9010623,0.021621536,-1.556796,
1622750747178,1622750747179,10.789237,-0.27158538,-0.08045866,-0.7155468,-0.019577058,-0.6972586,0.03794773,-6.1084726E-4,-0.01267508,0.0013744063,2.9325593,0.025165863,-1.5782535,
1622750747280,1622750747280,10.310373,0.0011964113,-0.95413804,-0.7157504,-0.019057183,-0.6970663,0.03790435,0.0036650836,-0.008246438,-0.004275931,3.0729184,-1.15545874E-4,-1.6630751,
1622750747381,1622750747381,9.741779,-0.09212367,0.07298109,-0.71654636,-0.018312642,-0.6963388,0.036582276,0.0038177953,0.0076355906,-0.014813046,2.9294643,0.009456008,-1.5633049,
1622750747482,1622750747482,10.000204,-0.689432,-0.55334026,-0.71705085,-0.017908404,-0.6958767,0.035678145,-0.0018325418,-0.0027488125,-0.009620844,3.0403879,0.068728074,-1.6260729,
1622750747582,1622750747583,9.47827,-0.16869399,-0.14985052,-0.7165961,-0.0191537,-0.6963107,0.03570148,0.0036650836,-0.006413896,0.0015271181,2.9733772,0.017793871,-1.586605,
1622750747683,1622750747683,9.869795,-0.46091747,-0.8285148,-0.7156285,-0.021740038,-0.6972237,0.035809495,0.0038177953,-0.007330167,0.019852536,3.069404,0.04650258,-1.6545445,
1622750747785,1622750747785,10.908878,0.058624156,-1.3899308,-0.7152609,-0.02284267,-0.69756895,0.03574317,0.002443389,-0.0029015245,1.5271181E-4,3.1311755,-0.0053308383,-1.6975263,
1622750747885,1622750747886,11.12184,-1.0785648,-0.9385847,-0.7160938,-0.02131598,-0.6967991,0.035019945,-0.0015271181,0.005803049,-0.009926268,3.0732887,0.096334584,-1.6549879,
1622750747986,1622750747986,9.809975,-0.0011964113,-0.22761725,-0.71584857,-0.021856325,-0.6970276,0.035151437,-3.0542363E-4,0.0076355906,-0.026266431,2.9690895,1.21925834E-4,-1.5939949,
1622750748086,1622750748086,10.21825,0.0011964113,-0.33050862,-0.71554124,-0.0221203,-0.6973075,0.03568731,9.162709E-4,-0.003206948,-0.006566608,2.9795554,-1.1702454E-4,-1.60313,
1622750748186,1622750748186,10.560424,-0.42741793,0.069391854,-0.71602046,-0.022347642,-0.69687915,0.034274567,-0.004886778,0.0019852535,-1.5271181E-4,2.933352,0.040450606,-1.5642254,
1622750748286,1622750748287,9.9344015,0.11844472,-0.09720842,-0.71619374,-0.02187453,-0.6967166,0.034263413,-0.00671932,-0.0019852535,-0.0045813546,2.94027,-0.011921547,-1.5805811,
1622750748387,1622750748388,10.147363,0.1363909,-0.27667013,-0.71551,-0.023551207,-0.69735354,0.034479037,-0.0035123718,0.003206948,-0.0030542363,2.968404,-0.013435217,-1.5980548,
1622750748488,1622750748488,10.330712,-0.4884349,-0.23479572,-0.7160222,-0.022482987,-0.6968792,0.03414783,-0.0019852535,-0.0036650836,0.003970507,2.9673693,0.047232527,-1.5935204,
1622750748589,1622750748590,9.723833,-0.09212367,-0.2431706,-0.7159243,-0.022844225,-0.6969719,0.034069397,-3.0542363E-4,0.0036650836,-0.0053449133,2.9573429,0.009470764,-1.5957989,
1622750748690,1622750748691,10.340284,-0.49441698,-0.325723,-0.7160447,-0.021969667,-0.69685245,0.034554414,-0.0035123718,-0.003206948,-0.007941014,2.9755898,0.047754604,-1.6022863,
1622750748791,1622750748791,9.252148,-0.31226337,-0.41545382,-0.71560115,-0.02243047,-0.69725806,0.03525816,-0.002443389,-0.003206948,0.0027488125,2.9909685,0.033703625,-1.6156697,
1622750748892,1622750748892,9.826724,-0.2847459,-0.49322057,-0.71643186,-0.021260617,-0.69649315,0.034215428,0.0012216945,0.0012216945,6.1084726E-4,3.0037732,0.028932182,-1.620946,
1622750748992,1622750748993,9.72144,0.35443684,-0.040977087,-0.7173901,-0.020079017,-0.69560695,0.032851353,-0.0018325418,0.0045813546,-9.162709E-4,2.9225652,-0.036442827,-1.5750114,
1622750749093,1622750749093,10.981859,-1.1670992,-0.9290134,-0.71819395,-0.018222935,-0.6948452,0.03248979,-0.003970507,-0.0053449133,0.0013744063,3.0542514,0.105503745,-1.6551907,
1622750749194,1622750749194,10.042078,-0.07058827,-0.8751749,-0.71895874,-0.017703155,-0.69413537,0.031000411,-0.0,-0.006566608,0.007941014,3.0427139,0.0070025916,-1.6577275,
1622750749294,1622750749295,9.408877,0.22761725,-0.6358926,-0.7198858,-0.015676504,-0.69324607,0.030472098,0.0021379655,-0.0076355906,-0.009620844,3.006228,-0.024132008,-1.638278,
1622750749395,1622750749395,10.076775,-0.37806597,-0.74476606,-0.72088677,-0.014456714,-0.69229496,0.028998787,1.5271181E-4,3.0542363E-4,-9.162709E-4,3.0231097,0.037399042,-1.6445713,
1622750749496,1622750749496,9.481859,-0.020338992,-0.41306102,-0.7205402,-0.014174939,-0.69261175,0.030163944,-0.0051922016,-0.009315421,-0.019241689,2.970138,0.002143007,-1.6143321,
1622750749597,1622750749597,9.284451,0.27068806,-0.9529416,-0.72063524,-0.0140187815,-0.6925205,0.030061807,-0.01099525,-0.009773556,-0.0132859275,3.0546482,-0.028994499,-1.6730766,
