FID,x_ft,y_ft
351,2510804.354,1673111.13
352,2510789.355,1673111.312
353,2510774.356,1673111.488
354,2510759.357,1673111.664
355,2510744.358,1673111.841
356,2510729.359,1673111.921
357,2510714.359,1673111.992
358,2510699.359,1673112.063
359,2510684.359,1673112.112
360,2510669.359,1673112.144
361,2510654.359,1673112.176
362,2510639.359,1673112.209
363,2510624.359,1673112.241
364,2510609.359,1673112.273
365,2510594.359,1673112.306
366,2510579.36,1673112.338
367,2510564.36,1673112.37
368,2510549.36,1673112.403
369,2510534.36,1673112.435
370,2510519.36,1673112.468
371,2510504.36,1673112.5
372,2510489.36,1673112.532
373,2510474.36,1673112.565
374,2510459.36,1673112.597
375,2510444.36,1673112.629
376,2510429.36,1673112.662
377,2510414.36,1673112.694
378,2510399.36,1673112.727
379,2510384.36,1673112.759
380,2510369.36,1673112.791
381,2510354.361,1673112.824
382,2510339.361,1673112.856
383,2510324.361,1673112.888
384,2510309.361,1673112.921
385,2510294.361,1673112.953
386,2510279.361,1673112.985
387,2510264.361,1673113.018
388,2510249.361,1673113.05
389,2510234.361,1673113.083
390,2510219.361,1673113.115
391,2510204.361,1673113.147
392,2510189.361,1673113.18
393,2510174.361,1673113.212
394,2510159.361,1673113.244
395,2510144.361,1673113.277
396,2510129.361,1673113.309
397,2510114.362,1673113.341
398,2510099.362,1673113.374
399,2510084.362,1673113.406
400,2510069.362,1673113.439
401,2510054.362,1673113.471
402,2510039.362,1673113.503
403,2510024.362,1673113.536
404,2510009.362,1673113.568
405,2509994.362,1673113.6
406,2509979.362,1673113.633
407,2509964.362,1673113.665
408,2509949.362,1673113.698
409,2509934.362,1673113.73
410,2509919.362,1673113.762
411,2509904.362,1673113.795
412,2509889.363,1673113.827
413,2509874.363,1673113.859
414,2509859.363,1673113.892
415,2509844.363,1673113.924
416,2509829.363,1673113.956
417,2509814.363,1673113.989
418,2509799.363,1673114.021
419,2509784.363,1673114.054
420,2509769.363,1673114.086
421,2509754.363,1673114.118
422,2509739.363,1673114.151
423,2509724.363,1673114.183
424,2509709.363,1673114.215
425,2509694.363,1673114.248
426,2509679.363,1673114.28
427,2509664.364,1673114.312
428,2509649.364,1673114.345
429,2509634.364,1673114.377
430,2509619.364,1673114.41
431,2509604.364,1673114.442
432,2509589.364,1673114.474
433,2509574.364,1673114.507
434,2509559.364,1673114.539
435,2509544.364,1673114.571
436,2509529.364,1673114.604
437,2509514.364,1673114.609
438,2509499.364,1673114.603
439,2509484.364,1673114.598
440,2509469.364,1673114.592
441,2509454.364,1673114.58
442,2509439.365,1673114.472
443,2509424.365,1673114.364
444,2509409.366,1673114.256
445,2509394.366,1673114.148
446,2509379.366,1673114.04
447,2509364.367,1673113.932
448,2509349.367,1673113.824
449,2509334.367,1673113.772
450,2509319.367,1673113.738
451,2509304.368,1673113.735
452,2509289.37,1673113.969
453,2509274.373,1673114.247
454,2509259.383,1673114.802
455,2509244.395,1673115.392
456,2509229.414,1673116.145
457,2509214.433,1673116.898
458,2509199.461,1673117.81
459,2509184.496,1673118.838
460,2509169.556,1673120.16
461,2509154.649,1673121.809
462,2509139.814,1673124.023
463,2509125.016,1673126.469
464,2509110.251,1673129.116
465,2509095.517,1673131.928
466,2509080.804,1673134.848
467,2509066.116,1673137.887
468,2509051.459,1673141.074
469,2509036.865,1673144.543
470,2509022.344,1673148.3
471,2509007.841,1673152.127
472,2508993.383,1673156.123
473,2508978.934,1673160.152
474,2508964.493,1673164.208
475,2508950.079,1673168.359
476,2508935.665,1673172.511
477,2508921.278,1673176.754
478,2508906.91,1673181.061
479,2508892.583,1673185.502
480,2508878.282,1673190.028
481,2508864.059,1673194.789
482,2508849.917,1673199.788
483,2508835.854,1673205.006
484,2508821.873,1673210.441
485,2508807.892,1673215.875
486,2508793.912,1673221.31
487,2508779.976,1673226.859
488,2508766.052,1673232.439
489,2508752.129,1673238.018
490,2508738.258,1673243.726
491,2508724.455,1673249.597
492,2508710.788,1673255.778
493,2508697.338,1673262.415
494,2508684,1673269.278
495,2508670.795,1673276.393
496,2508657.656,1673283.63
497,2508644.547,1673290.921
498,2508631.506,1673298.332
499,2508618.543,1673305.878
500,2508605.67,1673313.577
501,2508592.998,1673321.602
502,2508580.413,1673329.764
503,2508567.89,1673338.019
504,2508555.453,1673346.405
505,2508543.102,1673354.916
506,2508530.911,1673363.656
507,2508518.749,1673372.435
508,2508506.738,1673381.421
509,2508494.748,1673390.433
510,2508482.832,1673399.544
511,2508470.924,1673408.665
512,2508459.101,1673417.897
513,2508447.283,1673427.135
514,2508435.586,1673436.524
515,2508423.95,1673445.99
516,2508412.346,1673455.495
517,2508400.742,1673465
518,2508389.145,1673474.514
519,2508377.565,1673484.049
520,2508365.986,1673493.583
521,2508354.406,1673503.118
522,2508342.826,1673512.652
523,2508331.246,1673522.187
524,2508319.666,1673531.721
525,2508308.086,1673541.255
526,2508296.506,1673550.79
527,2508284.927,1673560.324
528,2508273.347,1673569.859
529,2508261.767,1673579.393
530,2508250.187,1673588.928
531,2508238.607,1673598.462
532,2508227.027,1673607.997
533,2508215.447,1673617.531
534,2508203.867,1673627.066
535,2508192.288,1673636.6
536,2508180.708,1673646.135
537,2508169.128,1673655.669
538,2508157.548,1673665.203
539,2508145.968,1673674.738
540,2508134.388,1673684.272
541,2508122.808,1673693.807
542,2508111.229,1673703.341
543,2508099.649,1673712.876
544,2508088.069,1673722.41
545,2508076.489,1673731.945
546,2508064.909,1673741.479
547,2508053.329,1673751.014
548,2508041.749,1673760.548
549,2508030.17,1673770.083
550,2508018.59,1673779.617
551,2508007.01,1673789.151
552,2507995.43,1673798.686
553,2507983.85,1673808.22
554,2507972.27,1673817.755
555,2507960.69,1673827.289
556,2507949.111,1673836.824
557,2507937.531,1673846.358
558,2507925.951,1673855.893
559,2507914.371,1673865.427
560,2507902.791,1673874.962
561,2507891.211,1673884.496
562,2507879.631,1673894.031
